iter	RMSE
0	9.234883933
1	8.422067279
2	7.709355192
3	7.090870542
4	6.542555328
5	6.06482371
6	5.650947753
7	5.289411794
8	4.968463806
9	4.683621219
10	4.446069765
11	4.229844293
12	4.051070067
13	3.896892759
14	3.764508128
15	3.641572695
16	3.550526858
17	3.474188808
18	3.399545712
19	3.332610861
20	3.278335198
21	3.218813142
22	3.174405722
23	3.143567502
24	3.103999662
25	3.060356816
26	3.037706112
27	3.004651429
28	2.975269402
29	2.944892896
30	2.911299808
31	2.889090584
32	2.865713458
33	2.844824145
34	2.824237022
35	2.806877834
36	2.780414969
37	2.752857995
38	2.73960522
39	2.730002148
40	2.705325999
41	2.688238207
42	2.677349836
43	2.66415706
44	2.652122327
45	2.640607824
46	2.630664119
47	2.620165552
48	2.608353004
49	2.596858881
50	2.588189878
51	2.579527823
52	2.563538788
53	2.556647636
54	2.543454737
55	2.524049283
56	2.509381517
57	2.496756575
58	2.491490656
59	2.476083342
60	2.467880204
61	2.451882348
62	2.441843881
63	2.43146542
64	2.422609404
65	2.410892064
66	2.399549529
67	2.391005517
68	2.381084866
69	2.372924227
70	2.366719822
71	2.360356517
72	2.3526445
73	2.344787851
74	2.337067166
75	2.332167973
76	2.32482592
77	2.310117963
78	2.299680601
79	2.289539488
80	2.285748401
81	2.279642709
82	2.27079471
83	2.265675338
84	2.258443163
85	2.252301805
86	2.246157871
87	2.243298418
88	2.239234548
89	2.229668172
90	2.220771185
91	2.213935084
92	2.207033667
93	2.200369189
94	2.193213639
95	2.186056638
96	2.183322975
97	2.179484614
98	2.171772978
99	2.16763259
100	2.161253106
101	2.15463948
102	2.144058854
103	2.134510622
104	2.127190054
105	2.120802162
106	2.108912361
107	2.105486367
108	2.101454751
109	2.097585783
110	2.094707365
111	2.089097373
112	2.086786467
113	2.08092183
114	2.073224076
115	2.069731032
116	2.059856153
117	2.054999767
118	2.052367591
119	2.045374159
120	2.040083135
121	2.035921393
122	2.029757311
123	2.025264293
124	2.018109802
125	2.012960877
126	2.007202829
127	2.001193711
128	1.996930933
129	1.993270816
130	1.987505104
131	1.980401367
132	1.975758367
133	1.970092352
134	1.962990705
135	1.958358735
136	1.953929904
137	1.950155477
138	1.94309657
139	1.937774481
140	1.933176986
141	1.928571173
142	1.925470365
143	1.921814578
144	1.918198627
145	1.915870692
146	1.91261107
147	1.908531053
